text,toxic,sarcastic
I just finished watching a really good documentary about the history of chocolate.,0,0
I just saw a cute dog on my walk to work. It made my day.,0,0
I just saw a really inspiring TED Talk,0,0
I love listening to classical music when I'm studying. It helps me concentrate.,0,0
My favorite place to relax is by the beach. There's something so calming about the sound of waves crashing against the shore.,0,0
I'm really into hiking lately. There's nothing like the feeling of reaching the summit of a mountain.,0,0
I can't believe how much traffic there is today. I've been stuck in the same spot for half an hour.,0,0
I'm feeling really optimistic about the future. I think good things are on the horizon.,0,0
I'm craving pizza right now. I might have to order some for dinner tonight.,0,0
I just started learning how to play the guitar. It's challenging but also really rewarding.,0,0
I just saw a cute dog on my walk to work. It made my day.,0,0
I'm feeling a little stressed out lately. I need to find a way to relax and unwind.,0,0
I can't believe how much technology has advanced in the last decade. It's amazing.,0,0
I'm really impressed with how quickly my new plant is growing. It's amazing to see the progress every day.,0,0
I just got a new haircut and I'm really happy with how it turned out. Sometimes a small change can make a big difference.,0,0
I just watched a beautiful sunset and it reminded me of the simple pleasures in life.,0,0
It was a good cricket match.,0,0
I am trying to learn new language.,0,0
I just finished organizing my closet and it feels so satisfying to have everything in its place.,0,0
It was a long and tiring day for me. I need a good shower.,0,0
You can buy it on amazon.,0,0
The class is pretty boring. I feel like my time is getting wasted.,0,0
"I just finished a really challenging workout. It was tough, but I feel proud of myself for pushing through.",0,0
Imran Khan was a great cricketer. We lead pakistan from the front in 1992 winning the cricket world cup,0,0
Shakib Al Hasan in the greatest cricket Allrounder of all time.,0,0
I apolozies for the bad jokes,0,0
Software development is a very difficult job,0,0
Yo look like someone I know.,0,0
The little ceaser's pizza was pretty great,0,0
The weather is gloomy today. I dont want to go to work.,0,0
What a lovely voice you have!,0,0
"My family lives in Bosnia, I visit them once a year.",0,0
I am really hungry today. I would love to eat chicken fry.,0,0
This apartment is too expensive and I can not afford it,0,0
I would like to take you out for a dinner.,0,0
I just baked a batch of cookies and they turned out delicious. Baking always brings me joy.,0,0
I'm really impressed with how quickly my new plant is growing. It's amazing to see the progress every day.,0,0
I am upset because my favourite football team lost today,0,0
I was really amazed by the scenic view of bogus basin,0,0
I just watched a beautiful movie today and it reminded me of the simple pleasures in life.,0,0
I am looking for an apartment my daughter. She is 22 and just graduated ISU. She does have a cat. She would love to get in touch,0,0
"I can't stop laughing at this meme of a cat wearing a cowboy hat. It's so ridiculous, but it just makes me so happy",0,0
Bangladesh's batting line up is aweful,0,0
Rinku singh played a fabuluous innings today,0,0
Shakib should have played this years IPL,0,0
